DateTime,open,high,low,close,volume,quoteVolume,weightedAverage,date
4/5/2017 16:00:00,1121.44565801,1138.0429235,1120.97217789,1130.57,2573498.9992907,2280.35109892,1128.5538444,1491408000
4/5/2017 20:00:00,1130.88144324,1139.99999999,1121.409633,1139.99999994,1890664.647818,1673.45933137,1129.79420077,1491422400
4/6/2017 0:00:00,1137.2656011,1157.777777,1137.23976888,1151.28610141,1994235.5139201,1735.49703445,1149.08609714,1491436800
4/6/2017 4:00:00,1151.38610136,1168.79334329,1150.052,1155.71019643,1569057.8753247,1350.75742491,1161.61336327,1491451200
4/6/2017 8:00:00,1155.75514356,1180.50000009,1150.052,1180.3155009,1849707.9708762,1585.73828719,1166.46484846,1491465600
4/6/2017 12:00:00,1179.93091717,1184.0613,1162.94577098,1167.98,1690306.4112373,1441.49112837,1172.60965258,1491480000
4/6/2017 16:00:00,1170.8793811,1198,1167.98000053,1189.36363126,3362947.4673754,2835.15742636,1186.1589893,1491494400
4/6/2017 20:00:00,1192.17463132,1220,1189.37,1193.92000001,4341294.2097059,3608.72674512,1202.99887365,1491508800
4/7/2017 0:00:00,1194.11636853,1200,1180.86161196,1180.86161196,1319458.1099948,1108.77703212,1190.01212306,1491523200
4/7/2017 4:00:00,1180.86161196,1195.01000074,1176.52610038,1195.01000074,981003.16741011,827.11693605,1186.05136063,1491537600
4/7/2017 8:00:00,1195.01000074,1200.49072498,1187.90572196,1193.73000006,2254680.7682043,1883.48447942,1197.07955804,1491552000
4/7/2017 12:00:00,1193.73000031,1198.49999999,1185,1198.49999976,2018111.2230388,1691.3683582,1193.18255733,1491566400
4/7/2017 16:00:00,1198.49999972,1203.83653589,1186.269999,1202.78313529,1918610.7759956,1606.52599702,1194.2606466,1491580800
4/7/2017 20:00:00,1202.7,1208,1190.89999995,1197.58999997,1217156.7114153,1015.98490727,1198.00668563,1491595200
4/8/2017 0:00:00,1197.58999997,1207.76999999,1181,1203.99,1465349.9543562,1227.62688471,1193.64439847,1491609600
4/8/2017 4:00:00,1201.96215435,1204.72499865,1195,1200,690333.19067299,575.68720214,1199.14632131,1491624000
4/8/2017 8:00:00,1200,1202.25313762,1189.39766113,1198,648069.48531107,542.0936625,1195.4935653,1491638400
4/8/2017 12:00:00,1197.5,1198,1186.255,1187.21000001,845228.82188986,708.84427626,1192.40410086,1491652800
4/8/2017 16:00:00,1187,1193.69467539,1172.40000002,1182.76312615,1699429.379447,1437.14880328,1182.50063985,1491667200
4/8/2017 20:00:00,1182.76312615,1189.68903824,1180.00000001,1189.68903824,594048.52586933,501.92222072,1183.5469747,1491681600
4/9/2017 0:00:00,1189.68903823,1195.59174038,1184,1191.13718451,842196.5399169,708.06090541,1189.44081431,1491696000
4/9/2017 4:00:00,1189.02000019,1194.4,1186,1190.5052,541941.54037857,455.28247178,1190.34132427,1491710400
4/9/2017 8:00:00,1190.5052,1191.11864859,1180.00000002,1183.11,808433.86182555,681.36571753,1186.4903693,1491724800
4/9/2017 12:00:00,1183.10999999,1210,1180.45363817,1209.99999989,1512407.339988,1262.56381663,1197.88585738,1491739200
4/9/2017 16:00:00,1209.99999986,1227.32926696,1206.02381846,1226.17615746,2327157.5695689,1907.46355541,1220.02727809,1491753600
4/9/2017 20:00:00,1226.17615746,1226.99999934,1211.13,1216.54157433,1001482.7450267,822.4909736,1217.62156324,1491768000
4/10/2017 0:00:00,1216.54157429,1224,1211.07556381,1222.63494647,497352.17167496,408.70201357,1216.90658514,1491782400
4/10/2017 4:00:00,1222.63494647,1224,1210.99999001,1212.00197202,715430.02881524,587.82399516,1217.08204276,1491796800
4/10/2017 8:00:00,1213.85738843,1228.99999993,1212.00197204,1225.24661633,669939.62642996,547.43770358,1223.77326597,1491811200
4/10/2017 12:00:00,1224.67568005,1225,1217,1218.04435616,1137109.6737092,931.10245855,1221.25085512,1491825600
4/10/2017 16:00:00,1218.04435616,1223.13730584,1212.59077905,1216,755247.71757661,619.97902619,1218.18268953,1491840000
4/10/2017 20:00:00,1216.01,1220.91,1202,1219.49999999,934982.98994869,771.92717799,1211.23211697,1491854400
4/11/2017 0:00:00,1219.54999997,1222.64111228,1205.98,1209,502153.19373066,412.82737568,1216.3757137,1491868800
4/11/2017 4:00:00,1209,1216.399999,1205.98000001,1207.79000318,608149.93499148,502.65314952,1209.8798855,1491883200
4/11/2017 8:00:00,1210.39999,1219.0999,1206.25497776,1219.0999,670360.43527118,552.36546798,1213.61756686,1491897600
4/11/2017 12:00:00,1219.0999,1234.35000001,1217.80020015,1233.79792644,929502.88700305,758.52833525,1225.40298602,1491912000
4/11/2017 16:00:00,1231.88370002,1244.81454032,1227.2900001,1231.00030001,1279102.1186578,1035.61200235,1235.11712471,1491926400
4/11/2017 20:00:00,1233.75999997,1246.17325885,1231,1235.99999901,573870.29737716,463.29662642,1238.66711875,1491940800
4/12/2017 0:00:00,1235.3121445,1240.24999996,1227.51156845,1236.95856916,537551.38349491,435.76222196,1233.58877021,1491955200
4/12/2017 4:00:00,1236.95856897,1236.95856998,1220.57,1230,1404064.6618389,1144.03023113,1227.29681754,1491969600
4/12/2017 8:00:00,1230,1237.699976,1224,1232.76599812,921555.7341203,748.48482761,1231.22834308,1491984000
4/12/2017 12:00:00,1231.33999979,1236.09316599,1221.47106842,1232.28345595,1089126.5627322,885.0006667,1230.65055622,1491998400
4/12/2017 16:00:00,1232.28345557,1235.00000003,1221,1226.54655104,1489120.9843415,1214.14395468,1226.47811126,1492012800
4/12/2017 20:00:00,1226.54655104,1232.29000001,1221.41030618,1227.00000044,1072886.399476,874.54435122,1226.79472799,1492027200
4/13/2017 0:00:00,1227.00000035,1240,1222.10407402,1223,1174044.7564805,953.99397904,1230.66264806,1492041600
4/13/2017 4:00:00,1227.8360432,1234.00014,1180,1205.92,2551531.570986,2120.87136012,1203.05814815,1492056000
4/13/2017 8:00:00,1205.91999995,1207.95999997,1190.2,1205.00000048,1047964.0517993,873.47108561,1199.76959634,1492070400
4/13/2017 12:00:00,1205.00000051,1209.50000035,1180.00000001,1185.15177342,1838319.7587501,1544.69541171,1190.08559539,1492084800
4/13/2017 16:00:00,1185.15177339,1192,1160.99998944,1183.8889997,1877745.8029595,1596.10113746,1176.45790663,1492099200
4/13/2017 20:00:00,1183.8889997,1191.09300016,1174.19,1186.00000004,1071165.9391768,903.70288471,1185.30764624,1492113600
4/14/2017 0:00:00,1188.98989872,1199.87558885,1183.98989962,1193.50000198,788145.26931424,660.80366114,1192.70717712,1492128000
4/14/2017 4:00:00,1196.69999961,1210.99999999,1192.89000002,1201.10099567,929951.88672451,774.45617053,1200.78052459,1492142400
4/14/2017 8:00:00,1201.10099567,1208,1185,1194.00000012,857459.91308554,718.68350282,1193.09808799,1492156800
4/14/2017 12:00:00,1194.00000012,1221.73333333,1193,1214.99999964,1453636.0102236,1204.4092315,1206.92865199,1492171200
4/14/2017 16:00:00,1212.00000023,1219,1200.0500755,1208.10000154,1029581.4402504,849.17474417,1212.44943672,1492185600
4/14/2017 20:00:00,1209,1215.992703,1201.73214082,1207.5051791,716091.46279686,592.53442671,1208.52296595,1492200000
4/15/2017 0:00:00,1207.5051791,1213.992703,1197,1209.29012396,758914.4421777,629.8619038,1204.89021101,1492214400
4/15/2017 4:00:00,1208,1212,1200.002907,1208.49999995,460373.58788549,381.29015222,1207.41011852,1492228800
4/15/2017 8:00:00,1208.38615444,1212.29313679,1204.99999968,1206.177494,406093.74439978,336.23187286,1207.77884899,1492243200
4/15/2017 12:00:00,1206.177494,1218,1206.00000002,1214.85103432,792523.10028717,653.87997968,1212.03145059,1492257600
4/15/2017 16:00:00,1214.85103432,1216.7770705,1200.567,1209.12717995,1157952.5018869,957.16205502,1209.77685629,1492272000
4/15/2017 20:00:00,1209.12717982,1210.4134021,1185.99999959,1194.54959853,1371312.602213,1145.79193346,1196.82514963,1492286400
4/16/2017 0:00:00,1193.94839339,1207,1190.00000009,1205.98,511613.74785366,426.08031568,1200.7448573,1492300800
4/16/2017 4:00:00,1205.97,1210.83299998,1205.00000001,1210.5,541344.95378149,447.93054465,1208.54663797,1492315200
4/16/2017 8:00:00,1210.5,1210.833,1205.390679,1207.301,401148.20672339,332.00587207,1208.25636071,1492329600
